92,4.839433418699995E8
95,4.4932016252E8
38,3.9311813692000055E8
72,3.057251522100002E8
90,2.9106846367999923E8
40,2.889360220500004E8
2,2.806111744299996E8
91,2.1678170572999966E8
13,1.9732156995000035E8
8,1.942807807300001E8
94,1.899124503300004E8
4,1.6714674557999998E8
93,1.5969866319000012E8
7,1.5547756274999988E8
79,1.4139654414000008E8
23,1.3818033078000018E8
5,1.3560735857E8
9,1.2839325664999995E8
46,1.2834441144000012E8
1,1.2363877653999995E8
10,1.1789738757999992E8
81,9.955202931000003E7
82,9.954708033000004E7
14,9.569466645000005E7
11,9.332927638000001E7
16,9.167068226999998E7
97,8.949651189999998E7
74,8.878198556999984E7
87,8.576007561000012E7
34,8.322362542999992E7
3,7.589244994999993E7
96,7.38339161599999E7
80,7.177406020000012E7
17,6.5319816629999965E7
55,5.997045534999996E7
22,5.972310735999985E7
25,5.7111218620000005E7
67,4.788077768000011E7
26,4.390000959999998E7
32,4.069896081E7
98,3.982891937000005E7
18,3.689748906E7
49,3.657290170999997E7
33,3.488396993000007E7
24,3.4347586260000005E7
20,3.334964511000004E7
42,3.3219291570000026E7
21,3.2064645080000017E7
71,3.038302288999995E7
29,3.000960242000004E7
6,2.8420667139999956E7
12,2.6760119509999994E7
44,2.5449612959999997E7
56,2.2511522870000005E7
30,2.178938142999999E7
83,1.9988830840000033E7
58,1.6255763570000002E7
35,1.5472775080000017E7
31,1.4193384219999973E7
85,1.3710696210000016E7
52,1.2086936989999995E7
36,1.0709513769999992E7
41,1.0600265069999997E7
27,8897336.590000005
37,8017243.3500000015
19,6816183.109999998
65,6498163.989999997
59,4240394.519999995
50,4153197.1300000055
28,3785153.249999996
48,2342804.61
60,2005020.96
54,516294.63000000163
99,358149.84999999986
77,49344.270000000004
45,44937.62999999992
51,30572.829999999944
78,1714.71
39,177.98
43,14.32
47,-4962.93
